Series_reference,Period,Data_value,STATUS,UNITS,Subject,Group,Series_title_1
CPIM.SE901306,2002.03,708.4988086,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.04,711.6759333,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.05,697.3788721,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.06,694.2017474,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.07,714.0587768,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.08,714.853058,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.09,713.2644956,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.1,735.5043685,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.11,733.9158062,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2002.12,727.5615568,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2003.01,729.1501191,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2003.02,737.8872121,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2003.03,736.2986497,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2003.04,746.624305,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2003.05,750.5957109,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2003.06,732.3272438,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2003.07,766.4813344,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
CPIM.SE901306,2003.08,762.5099285,FINAL,Index,Consumers Price Index - CPI,Food Price Index Level 3 Classes for New Zealand,Other grocery food
